|time| inM  |  instruction   |reset| outM  |writeM |addre| pc  |DRegiste|PCLoad |
|0+  |     0|0000001111101000|  0  |      0|   0   |    0|    0|      0 |   0   |
|1   |     0|0000001111101000|  0  |   1000|   0   | 1000|    1|      0 |   0   |
|1+  |     0|1110110000010000|  0  |   1000|   0   | 1000|    1|   1000 |   0   |
|2   |     0|1110110000010000|  0  |   1000|   0   | 1000|    2|   1000 |   0   |
|2+  |     0|1110101010010000|  0  |      0|   0   | 1000|    2|      0 |   0   |
|3   |     0|1110101010010000|  0  |      0|   0   | 1000|    3|      0 |   0   |
|3+  |     0|1110001100000001|  0  |      0|   0   | 1000|    3|      0 |   0   |
|4   |     0|1110001100000001|  0  |      0|   0   | 1000|    4|      0 |   0   |
|4+  |     0|1110001100000010|  0  |      0|   0   | 1000|    4|      0 |   1   |
|5   |     0|1110001100000010|  0  |      0|   0   | 1000| 1000|      0 |   1   |
